"Series Description","Manufacturing (SIC); n.s.a. IP","Manufacturing (SIC); s.a. IP","Total index; n.s.a. IP","Total index; s.a. IP","Electric power generation, transmission, and distribution  (NAICS = 2211); n.s.a. IP","Electric power generation, transmission, and distribution  (NAICS = 2211); s.a. IP","Electric and gas utilities  (NAICS = 2211,2); n.s.a. IP","Electric and gas utilities  (NAICS = 2211,2); s.a. IP","Food, beverage, and tobacco  (NAICS = 311,2); n.s.a. IP","Food, beverage, and tobacco  (NAICS = 311,2); s.a. IP","Textiles and products  (NAICS = 313,4); n.s.a. IP","Textiles and products  (NAICS = 313,4); s.a. IP","Plastics and rubber products  (NAICS = 326); n.s.a. IP","Plastics and rubber products  (NAICS = 326); s.a. IP","Machinery  (NAICS = 333); n.s.a. IP","Machinery  (NAICS = 333); s.a. IP","Computer and electronic product  (NAICS = 334); n.s.a. IP","Computer and electronic product  (NAICS = 334); s.a. IP","Electrical equipment, appliance, and component  (NAICS = 335); n.s.a. IP","Electrical equipment, appliance, and component  (NAICS = 335); s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); s.a. IP","Furniture and related product  (NAICS = 337); n.s.a. IP","Furniture and related product  (NAICS = 337); s.a. IP","Manufacturing (NAICS); n.s.a. IP","Manufacturing (NAICS); s.a. IP"
"Unit:","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100"
"Multiplier:","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unique Identifier: ","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B00004.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B00004.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B50001.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B50001.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211A2.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211A2.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G311A2.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G311A2.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G313A4.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G313A4.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G326.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G326.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G333.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G333.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G334.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G334.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G335.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G335.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3361T3.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3361T3.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G337.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G337.S","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMF.N","G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMF.S"
"Time Period","IP.B00004.N","IP.B00004.S","IP.B50001.N","IP.B50001.S","IP.G2211.N","IP.G2211.S","IP.G2211A2.N","IP.G2211A2.S","IP.G311A2.N","IP.G311A2.S","IP.G313A4.N","IP.G313A4.S","IP.G326.N","IP.G326.S","IP.G333.N","IP.G333.S","IP.G334.N","IP.G334.S","IP.G335.N","IP.G335.S","IP.G3361T3.N","IP.G3361T3.S","IP.G337.N","IP.G337.S","IP.GMF.N","IP.GMF.S"
2000-01,93.6651,95.8768,90.6669,91.5380,91.4729,87.6431,100.9655,88.4047,89.0932,91.7585,224.0388,228.9974,111.6334,112.7776,106.3905,108.3880,26.0951,27.2355,132.8203,134.1608,88.6310,90.4508,131.0338,138.3642,90.2442,92.2097
2000-02,95.3518,96.0659,91.4042,91.8239,85.3202,88.4710,93.1095,89.5897,91.5513,92.8191,226.4214,227.1773,111.9940,112.0786,109.5193,107.6461,26.7734,28.0562,135.4718,134.3397,94.9260,89.0737,137.3200,138.0369,92.0263,92.4168
2000-03,97.7098,96.6465,92.9534,92.1504,82.2650,87.3076,87.0262,87.1872,92.8152,92.9985,229.8701,227.3137,111.3129,111.0392,113.1910,108.9366,29.5992,28.7341,137.2730,135.8150,96.5088,88.4736,139.6139,139.4972,94.4705,93.0135
2000-04,96.8129,97.2139,91.6364,92.6989,78.4730,88.2916,80.4459,89.0503,90.1476,92.7853,237.1050,229.0047,112.6032,112.7203,112.1981,109.7132,28.4245,29.6367,135.7107,136.5248,91.6241,88.9575,138.4462,141.4932,93.2882,93.5958
2000-05,96.7550,97.1881,91.9003,92.9499,85.2375,91.7253,83.4576,92.4647,91.3180,92.5378,228.3136,224.8921,111.3742,111.3853,111.7788,109.6157,29.2172,30.5342,133.8758,134.9961,91.1685,88.5102,138.6893,141.0486,93.3950,93.6194
2000-06,99.5590,97.3286,94.8076,92.9862,94.1919,90.1948,89.9646,91.0459,95.8007,93.0447,230.5368,224.2684,112.4596,111.0276,114.3156,110.7419,32.1635,31.1400,136.9461,136.2465,91.1503,86.7047,145.8188,140.2487,95.8883,93.7348
2000-07,93.6609,97.3920,90.3874,92.8048,100.1151,87.3053,94.8622,88.3262,92.3991,94.1134,222.4461,222.1462,107.7574,111.2694,105.4471,110.8496,30.3174,32.0010,132.3629,136.7643,57.7296,83.0224,134.7282,138.9899,89.6101,93.8178
2000-08,97.4939,96.7683,93.8428,92.5521,103.4846,89.4151,98.1841,90.6975,96.7610,92.8774,217.5068,216.5706,109.7695,109.3584,108.0641,109.7638,31.4259,32.2670,133.4136,134.7583,85.4182,83.7278,143.3874,137.9229,93.6458,93.2292
