"Series Description","Total consumer credit owned and securitized, seasonally adjusted level","Percent change of total consumer credit, seasonally adjusted at an annual rate","Total consumer credit owned and securitized, not seasonally adjusted level","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, not seasonally adjusted flow, monthly rate"
"Unit:","Currency","Percent","Currency","Currency","Currency"
"Multiplier:","1000000","1","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD"
"Unique Identifier: ","G19/CCOUT/DTCTL.M","G19/CCOUT/DTCTL_@%A_BA.M","G19/CCOUT/DTCTL_N.M","G19/CCOUT/DTCTL_XDF_BA.M","G19/CCOUT/DTCTL_XDF_BA_N.M"
"Time Period","DTCTL.M","DTCTL_@%A_BA.M","DTCTL_N.M","DTCTL_XDF_BA.M","DTCTL_XDF_BA_N.M"
2000-01,1538520.18,5.81,1551875.76,7414.22,-1746.26
2000-02,1549185.29,8.32,1549328.50,10665.11,-2547.25
2000-03,1561450.69,9.50,1553765.00,12265.40,4436.50
2000-04,1570527.74,6.98,1564206.50,9077.05,10441.50
2000-05,1583507.92,9.92,1576800.03,12980.18,12593.53
2000-06,1609548.04,19.73,1601771.29,26040.11,24971.26
2000-07,1629751.44,15.06,1619509.22,20203.40,17737.93
2000-08,1651615.40,16.10,1649866.66,21863.96,30357.44
2000-09,1669000.81,4.57,1667073.00,6285.41,6106.33
2000-10,1684599.32,11.22,1685788.59,15598.51,18715.60
2000-11,1700944.54,11.64,1705964.68,16345.21,20176.09
2000-12,1716969.72,11.31,1741266.87,16025.18,35302.19
2001-01,1729851.68,9.00,1744174.33,12881.96,2907.46
2001-02,1748702.02,13.08,1746978.43,18850.34,2804.09
2001-03,1760541.84,8.12,1749724.36,11839.82,2745.93
2001-04,1773098.33,8.56,1765923.50,12556.49,16199.14
2001-05,1781177.46,5.47,1773882.75,8079.13,7959.25
2001-06,1792368.09,7.54,1784249.21,11190.63,10366.46
2001-07,1797350.57,3.34,1787235.45,4982.48,2986.24
2001-08,1806359.04,6.01,1805493.49,9008.47,18258.04
2001-09,1814252.38,5.24,1814351.47,7893.34,8857.98
2001-10,1829840.26,10.31,1832500.32,15587.88,18148.85
2001-11,1857842.79,18.36,1863095.32,28002.52,30595.00
2001-12,1867852.87,6.47,1891826.84,10010.09,28731.52
2002-01,1867418.69,-0.28,1883479.24,-434.18,-8347.60
2002-02,1881905.37,9.31,1880338.72,14486.68,-3140.52
2002-03,1894690.33,8.15,1883516.27,12784.96,3177.55
2002-04,1903957.99,5.87,1895690.24,9267.66,12173.97
2002-05,1914613.99,6.72,1906472.43,10656.01,10782.19
2002-06,1927180.98,7.88,1917644.00,12566.98,11171.58
2002-07,1939211.40,7.49,1928370.98,12030.42,10726.98
2002-08,1947500.09,5.13,1946780.96,8288.69,18409.97
2002-09,1950651.39,1.94,1951608.39,3151.30,4827.43
2002-10,1957151.30,4.00,1960557.84,6499.91,8949.45
2002-11,1965179.13,4.92,1970635.30,8027.82,10077.46
2002-12,1972112.21,4.23,1997007.68,6933.09,26372.38
2003-01,1982561.31,6.36,2000693.27,10449.10,3685.59
2003-02,1993405.69,6.56,1992275.88,10844.38,-8417.39
2003-03,2001208.15,4.70,1989122.67,7802.46,-3153.22
2003-04,2014099.78,7.73,2004197.87,12891.63,15075.20
2003-05,2027502.51,7.99,2018079.96,13402.73,13882.09
2003-06,2033268.41,3.41,2021930.44,5765.91,3850.48
2003-07,2040064.39,4.01,2028553.58,6795.98,6623.14
2003-08,2049124.34,5.33,2049098.61,9059.94,20545.03
2003-09,2057090.79,4.67,2059675.30,7966.45,10576.69
2003-10,2065495.10,4.90,2069683.22,8404.31,10007.92
2003-11,2066400.09,0.53,2072467.00,904.99,2783.78
