"Series Description","Average amount financed for new car loans at finance companies, not seasonally adjusted","Average maturity of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average amount financed for used car loans at finance companies, not seasonally adjusted","Average maturity of used car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average amount financed for new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Loan-to-value ratio of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Weighted-average maturity of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average amount financed for used car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Loan-to-value ratio of used car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Weighted-average maturity of used car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","New car average finance rate at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Used car average finance rate at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average finance rate of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average finance rate of used car loans at finance companies, amount of finance weighted, not seasonally adjusted"
"Unit:","Currency","Months","Currency","Months","Currency","Percent","Months","Currency","Percent","Months","Percent","Percent","Percent","Percent"
"Multiplier:","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","G20/TERMS/DTCTLVENA_N.M","G20/TERMS/DTCTLVENM_N.M","G20/TERMS/DTCTLVEUA_N.M","G20/TERMS/DTCTLVEUM_N.M","G20/TERMS/H0.DTCTLVNA_N.M","G20/TERMS/H0.DTCTLVNL_N.M","G20/TERMS/H0.DTCTLVNM_N.M","G20/TERMS/H0.DTCTLVUA_N.M","G20/TERMS/H0.DTCTLVUL_N.M","G20/TERMS/H0.DTCTLVUM_N.M","G20/TERMS/H0.RIFLPCFAN_N.M","G20/TERMS/H0.RIFLPCFAU_N.M","G20/TERMS/RIELPCFAN_N.M","G20/TERMS/RIELPCFAU_N.M"
"Time Period","DTCTLVENA_N.M","DTCTLVENM_N.M","DTCTLVEUA_N.M","DTCTLVEUM_N.M","H0.DTCTLVNA_N.M","H0.DTCTLVNL_N.M","H0.DTCTLVNM_N.M","H0.DTCTLVUA_N.M","H0.DTCTLVUL_N.M","H0.DTCTLVUM_N.M","H0.RIFLPCFAN_N.M","H0.RIFLPCFAU_N.M","RIELPCFAN_N.M","RIELPCFAU_N.M"
2000-01,,,,,20503.45,91.38,53.77,13809.01,98.26,56.85,7.33,13.16,,
2000-02,,,,,20206.21,91.89,53.63,13696.65,97.78,56.77,7.44,13.54,,
2000-03,,,,,20394.79,92.91,53.98,13666.46,98.52,56.83,6.92,13.62,,
2000-04,,,,,20541.56,93.29,54.44,13870.73,98.03,56.96,6.67,13.66,,
2000-05,,,,,20620.66,92.88,54.37,14132.27,98.54,57.21,6.72,13.49,,
